locus	erv.assigned	CLADE	locus_name
RETROSEQ_chrZ:59563286-59563386	cPa140	SnRV-like	ERV-S.cPa140.2155-CamPar
RETROSEQ_chrZ:59613646-59613746	cPa140	SnRV-like	ERV-S.cPa140.2156-CamPar
RETROSEQ_chrZ:59678349-59678449	cPa530	Beta-like1	ERV-AB1.cPa530.46-CamPar
RETROSEQ_chrZ:59832914-59833105	cPa452	Beta-like1	ERV-AB1.cPa452.1653-CamPar
RETROSEQ_chrZ:59995890-59996040	cPa71	Beta-like1	ERV-AB1.cPa71.76-CamPar
RETROSEQ_chrZ:60118894-60118998	cPa224	Alpha-like	ERV-AB.cPa224.272-CamPar
RETROSEQ_chrZ:60139537-60139637	cPa142	Beta-like1	ERV-AB1.cPa142.230-CamPar
RETROSEQ_chrZ:60149450-60149569	cPa220	Beta-like1	ERV-AB1.cPa220.359-CamPar
RETROSEQ_chrZ:60225375-60225475	PERV_AJ293656	Gamma	ERV-PERV.276-CamPar
RETROSEQ_chrZ:60301879-60301979	cPa109	Gamma-like	ERV-GE.cPa109.243-CamPar
RETROSEQ_chrZ:60464656-60464756	cPa140	SnRV-like	ERV-S.cPa140.2157-CamPar
RETROSEQ_chrZ:60509315-60509427	cPa140	SnRV-like	ERV-S.cPa140.2158-CamPar
RETROSEQ_chrZ:60551674-60551774	cPa140	SnRV-like	ERV-S.cPa140.2159-CamPar
RETROSEQ_chrZ:60565045-60565213	PERV_AJ293656	Gamma	ERV-PERV.277-CamPar
RETROSEQ_chrZ:60658096-60658214	cPa163	Alpha-like	ERV-AB.cPa163.291-CamPar
RETROSEQ_chrZ:60664957-60665057	cPa205	Gamma-like	ERV-GE.cPa205.162-CamPar
RETROSEQ_chrZ:60687415-60687515	cPa257	Beta-like1	ERV-AB1.cPa257.171-CamPar
RETROSEQ_chrZ:60868050-60868150	cPa529	Beta-like1	ERV-AB1.cPa529.706-CamPar
RETROSEQ_chrZ:61392381-61392481	cPa357	Gamma-like	ERV-GE.cPa357.94-CamPar
RETROSEQ_chrZ:61392566-61392666	cPa357	Gamma-like	ERV-GE.cPa357.95-CamPar
RETROSEQ_chrZ:61393535-61393635	cPa452	Beta-like1	ERV-AB1.cPa452.1654-CamPar
RETROSEQ_chrZ:61393770-61393899	cPa452	Beta-like1	ERV-AB1.cPa452.1655-CamPar
RETROSEQ_chrZ:61613631-61613731	cPa452	Beta-like1	ERV-AB1.cPa452.1656-CamPar
RETROSEQ_chrZ:61691131-61691274	cPa220	Beta-like1	ERV-AB1.cPa220.360-CamPar
RETROSEQ_chrZ:61888094-61888194	cPa200	Beta-like1	ERV-AB1.cPa200.39-CamPar
RETROSEQ_chrZ:61888267-61888367	cPa575	Beta-like1	ERV-AB1.cPa575.6-CamPar
RETROSEQ_chrZ:61917271-61917443	cPa61	Gamma-like	ERV-GE.cPa61.134-CamPar
RETROSEQ_chrZ:62010936-62011036	cPa150	Beta-like1	ERV-AB1.cPa150.127-CamPar
RETROSEQ_chrZ:62019744-62019929	cPa95	Beta-like1	ERV-AB1.cPa95.39-CamPar
RETROSEQ_chrZ:62081206-62081306	cPa305	Beta-like2	ERV-AB2.cPa305.6-CamPar
RETROSEQ_chrZ:62162931-62163031	cPa220	Beta-like1	ERV-AB1.cPa220.361-CamPar
RETROSEQ_chrZ:62175080-62175198	cPa127	Beta-like1	ERV-AB1.cPa127.201-CamPar
RETROSEQ_chrZ:62197075-62197175	cPa142	Beta-like1	ERV-AB1.cPa142.231-CamPar
RETROSEQ_chrZ:62277745-62277869	cPa140	SnRV-like	ERV-S.cPa140.2160-CamPar
RETROSEQ_chrZ:62343821-62343921	cPa452	Beta-like1	ERV-AB1.cPa452.1657-CamPar
RETROSEQ_chrZ:62444143-62444243	cPa248	SnRV-like	ERV-S.cPa248.839-CamPar
DELLY_chrZ:62489067-62489560	cPa390	Beta-like1	ERV-AB1.cPa390.47-CamPar
RETROSEQ_chrZ:62620141-62620282	cPa138	Beta-like1	ERV-AB1.cPa138.44-CamPar
RETROSEQ_chrZ:62620288-62620388	cPa138	Beta-like1	ERV-AB1.cPa138.45-CamPar
RETROSEQ_chrZ:62673023-62673324	cPa333	Beta-like1	ERV-AB1.cPa333.266-CamPar
DELLY_chrZ:62686227-62689554	cPa16	Beta-like1	ERV-AB1.cPa16.97-CamPar
RETROSEQ_chrZ:62752055-62752157	cPa363	Beta-like1	ERV-AB1.cPa363.859-CamPar
RETROSEQ_chrZ:62850988-62851090	cPa142	Beta-like1	ERV-AB1.cPa142.232-CamPar
CNV_chrZ:63002101-63013200	cPa563	Beta-like1	ERV-AB1.cPa563.34-CamPar
DELLY_chrZ:63004278-63012553	cPa563	Beta-like1	ERV-AB1.cPa563.35-CamPar
RETROSEQ_chrZ:63020500-63020790	cPa131	Beta-like1	ERV-AB1.cPa131.47-CamPar
RETROSEQ_chrZ:63052960-63053060	cPa452	Beta-like1	ERV-AB1.cPa452.1658-CamPar
RETROSEQ_chrZ:63053064-63053164	cPa452	Beta-like1	ERV-AB1.cPa452.1659-CamPar
RETROSEQ_chrZ:63121406-63121506	cPa138	Beta-like1	ERV-AB1.cPa138.46-CamPar
RETROSEQ_chrZ:63209792-63210055	cPa363	Beta-like1	ERV-AB1.cPa363.860-CamPar
RETROSEQ_chrZ:63370385-63370485	cPa257	Beta-like1	ERV-AB1.cPa257.172-CamPar
RETROSEQ_chrZ:63734361-63734461	cPa391	Beta-like2	ERV-AB2.cPa391.1113-CamPar
RETROSEQ_chrZ:63839469-63839748	cPa140	SnRV-like	ERV-S.cPa140.2161-CamPar
RETROSEQ_chrZ:63948058-63948235	cPa357	Gamma-like	ERV-GE.cPa357.96-CamPar
RETROSEQ_chrZ:64110193-64110314	cPa140	SnRV-like	ERV-S.cPa140.2162-CamPar
CNV_chrZ:64210801-64223100	cPa248	SnRV-like	ERV-S.cPa248.840-CamPar
DELLY_chrZ:64211713-64218878	cPa248	SnRV-like	ERV-S.cPa248.841-CamPar
RETROSEQ_chrZ:64212167-64212353	cPa264	SnRV-like	ERV-S.cPa264.267-CamPar
RETROSEQ_chrZ:64212433-64212650	cPa248	SnRV-like	ERV-S.cPa248.842-CamPar
RETROSEQ_chrZ:64214415-64214515	cPa443	SnRV-like	ERV-S.cPa443.375-CamPar
RETROSEQ_chrZ:64214601-64214701	cPa248	SnRV-like	ERV-S.cPa248.843-CamPar
RETROSEQ_chrZ:64214703-64214803	cPa264	SnRV-like	ERV-S.cPa264.268-CamPar
RETROSEQ_chrZ:64216830-64216930	cPa15	SnRV-like	ERV-S.cPa15.333-CamPar
RETROSEQ_chrZ:64217569-64217669	cPa140	SnRV-like	ERV-S.cPa140.2163-CamPar
RETROSEQ_chrZ:64217918-64218018	cPa248	SnRV-like	ERV-S.cPa248.844-CamPar
RETROSEQ_chrZ:64218092-64218220	cPa248	SnRV-like	ERV-S.cPa248.845-CamPar
DELLY_chrZ:64219087-64219644	cPa248	SnRV-like	ERV-S.cPa248.846-CamPar
RETROSEQ_chrZ:64220182-64220355	cPa205	Gamma-like	ERV-GE.cPa205.163-CamPar
DELLY_chrZ:64220430-64221067	cPa248	SnRV-like	ERV-S.cPa248.847-CamPar
DELLY_chrZ:64221618-64223475	cPa248	SnRV-like	ERV-S.cPa248.848-CamPar
RETROSEQ_chrZ:64235562-64235662	cPa526	Beta-like1	ERV-AB1.cPa526.67-CamPar
RETROSEQ_chrZ:64246938-64247038	cPa140	SnRV-like	ERV-S.cPa140.2164-CamPar
RETROSEQ_chrZ:64428932-64429193	cPa452	Beta-like1	ERV-AB1.cPa452.1660-CamPar
RETROSEQ_chrZ:64463034-64463134	cPa157	Beta-like2	ERV-AB2.cPa157.207-CamPar
CNV_chrZ:64493101-64520100	cPa248	SnRV-like	ERV-S.cPa248.849-CamPar
DELLY_chrZ:64502470-64506006	cPa248	SnRV-like	ERV-S.cPa248.850-CamPar
RETROSEQ_chrZ:64643935-64644134	cPa363	Beta-like1	ERV-AB1.cPa363.861-CamPar
RETROSEQ_chrZ:64876522-64876634	cPa140	SnRV-like	ERV-S.cPa140.2165-CamPar
RETROSEQ_chrZ:64983682-64983782	cPa224	Alpha-like	ERV-AB.cPa224.273-CamPar
RETROSEQ_chrZ:65111927-65112027	cPa140	SnRV-like	ERV-S.cPa140.2166-CamPar
RETROSEQ_chrZ:65234448-65234560	cPa248	SnRV-like	ERV-S.cPa248.851-CamPar
RETROSEQ_chrZ:65312879-65312994	cPa183	Beta-like1	ERV-AB1.cPa183.330-CamPar
RETROSEQ_chrZ:65342874-65342974	cPa264	SnRV-like	ERV-S.cPa264.269-CamPar
RETROSEQ_chrZ:65343050-65343150	cPa140	SnRV-like	ERV-S.cPa140.2167-CamPar
RETROSEQ_chrZ:65451678-65451838	cPa452	Beta-like1	ERV-AB1.cPa452.1661-CamPar
RETROSEQ_chrZ:65547830-65547930	cPa452	Beta-like1	ERV-AB1.cPa452.1662-CamPar
RETROSEQ_chrZ:65617662-65617762	HERV-XA34_repbase_HERVFH21I_LTR21A	Gamma-like	ERV-HERVXA34.312-CamPar
RETROSEQ_chrZ:65724952-65725117	cPa452	Beta-like1	ERV-AB1.cPa452.1663-CamPar
RETROSEQ_chrZ:65725529-65725686	cPa452	Beta-like1	ERV-AB1.cPa452.1664-CamPar
RETROSEQ_chrZ:65782452-65782552	cPa140	SnRV-like	ERV-S.cPa140.2168-CamPar
RETROSEQ_chrZ:65873538-65873638	cPa140	SnRV-like	ERV-S.cPa140.2169-CamPar
RETROSEQ_chrZ:65921393-65921552	cPa452	Beta-like1	ERV-AB1.cPa452.1665-CamPar
RETROSEQ_chrZ:65987480-65987580	cPa452	Beta-like1	ERV-AB1.cPa452.1666-CamPar
RETROSEQ_chrZ:65988639-65988739	cPa452	Beta-like1	ERV-AB1.cPa452.1667-CamPar
RETROSEQ_chrZ:66338154-66338296	cPa486	Beta-like1	ERV-AB1.cPa486.189-CamPar
RETROSEQ_chrZ:66907043-66907143	cPa529	Beta-like1	ERV-AB1.cPa529.707-CamPar
RETROSEQ_chrZ:66947456-66947638	cPa452	Beta-like1	ERV-AB1.cPa452.1668-CamPar
RETROSEQ_chrZ:66985685-66985790	cPa201	Gamma-like	ERV-GE.cPa201.228-CamPar
RETROSEQ_chrZ:67085701-67085809	PERV_AJ293656	Gamma	ERV-PERV.278-CamPar
RETROSEQ_chrZ:67085921-67086021	PERV_AJ293656	Gamma	ERV-PERV.279-CamPar
RETROSEQ_chrZ:67123185-67123327	PERV_AJ293656	Gamma	ERV-PERV.280-CamPar
RETROSEQ_chrZ:67123486-67123741	PERV_AJ293656	Gamma	ERV-PERV.281-CamPar
RETROSEQ_chrZ:67193326-67193449	cPa201	Gamma-like	ERV-GE.cPa201.229-CamPar
RETROSEQ_chrZ:67197498-67197598	cPa220	Beta-like1	ERV-AB1.cPa220.362-CamPar
RETROSEQ_chrZ:67225821-67225921	MLV_Xmv43	Gamma	ERV-Xmv.43.55-CamPar
RETROSEQ_chrZ:67225937-67226274	PERV_AJ293656	Gamma	ERV-PERV.282-CamPar
RETROSEQ_chrZ:67254051-67254164	cPa247	Beta-like1	ERV-AB1.cPa247.63-CamPar
RETROSEQ_chrZ:67484926-67485026	cPa452	Beta-like1	ERV-AB1.cPa452.1669-CamPar
RETROSEQ_chrZ:67485091-67485211	cPa452	Beta-like1	ERV-AB1.cPa452.1670-CamPar
RETROSEQ_chrZ:67555578-67555678	PERV_AJ293656	Gamma	ERV-PERV.283-CamPar
RETROSEQ_chrZ:67561898-67562014	cPa443	SnRV-like	ERV-S.cPa443.376-CamPar
RETROSEQ_chrZ:67593620-67593720	HERV-XA34_repbase_HERVFH21I_LTR21A	Gamma-like	ERV-HERVXA34.313-CamPar
RETROSEQ_chrZ:67627230-67627330	cPa220	Beta-like1	ERV-AB1.cPa220.363-CamPar
RETROSEQ_chrZ:67710756-67710856	cPa529	Beta-like1	ERV-AB1.cPa529.708-CamPar
RETROSEQ_chrZ:67711011-67711111	cPa247	Beta-like1	ERV-AB1.cPa247.64-CamPar
RETROSEQ_chrZ:67759336-67759438	WDSV_NC001867	Epsilon	ERV-WDSV.30-CamPar
RETROSEQ_chrZ:67780690-67780802	cPa529	Beta-like1	ERV-AB1.cPa529.709-CamPar
RETROSEQ_chrZ:67842326-67842478	PERV_AJ293656	Gamma	ERV-PERV.284-CamPar
RETROSEQ_chrZ:67917793-67917893	WDSV_NC001867	Epsilon	ERV-WDSV.31-CamPar
RETROSEQ_chrZ:67921172-67921414	cPa246	Beta-like1	ERV-AB1.cPa246.81-CamPar
RETROSEQ_chrZ:67929581-67929785	cPa529	Beta-like1	ERV-AB1.cPa529.710-CamPar
RETROSEQ_chrZ:67930137-67930297	cPa443	SnRV-like	ERV-S.cPa443.377-CamPar
RETROSEQ_chrZ:67930382-67930482	cPa443	SnRV-like	ERV-S.cPa443.378-CamPar
RETROSEQ_chrZ:67930878-67930978	cPa150	Beta-like1	ERV-AB1.cPa150.128-CamPar
RETROSEQ_chrZ:68053582-68053682	cPa220	Beta-like1	ERV-AB1.cPa220.364-CamPar
RETROSEQ_chrZ:68078823-68078923	cPa452	Beta-like1	ERV-AB1.cPa452.1671-CamPar
RETROSEQ_chrZ:68089000-68089100	cPa140	SnRV-like	ERV-S.cPa140.2170-CamPar
RETROSEQ_chrZ:68110917-68111024	cPa18	Beta-like1	ERV-AB1.cPa18.76-CamPar
RETROSEQ_chrZ:68128543-68128643	cPa391	Beta-like2	ERV-AB2.cPa391.1114-CamPar
RETROSEQ_chrZ:68128649-68128749	cPa391	Beta-like2	ERV-AB2.cPa391.1115-CamPar
RETROSEQ_chrZ:68128768-68128952	cPa391	Beta-like2	ERV-AB2.cPa391.1116-CamPar
RETROSEQ_chrZ:68179635-68179775	cPa140	SnRV-like	ERV-S.cPa140.2171-CamPar
RETROSEQ_chrZ:68179801-68179901	cPa248	SnRV-like	ERV-S.cPa248.852-CamPar
RETROSEQ_chrZ:68179927-68180093	cPa140	SnRV-like	ERV-S.cPa140.2172-CamPar
RETROSEQ_chrZ:68205677-68205777	cPa529	Beta-like1	ERV-AB1.cPa529.711-CamPar
RETROSEQ_chrZ:68225738-68225838	cPa248	SnRV-like	ERV-S.cPa248.853-CamPar
RETROSEQ_chrZ:68225910-68226051	cPa248	SnRV-like	ERV-S.cPa248.854-CamPar
RETROSEQ_chrZ:68253333-68253444	cPa452	Beta-like1	ERV-AB1.cPa452.1672-CamPar
RETROSEQ_chrZ:68277327-68277505	cPa177	Beta-like1	ERV-AB1.cPa177.27-CamPar
RETROSEQ_chrZ:68320871-68320983	cPa219		NA.30-NA
RETROSEQ_chrZ:68346254-68346503	cPa140	SnRV-like	ERV-S.cPa140.2173-CamPar
RETROSEQ_chrZ:68366663-68366764	cPa529	Beta-like1	ERV-AB1.cPa529.712-CamPar
RETROSEQ_chrZ:68385434-68385558	cPa452	Beta-like1	ERV-AB1.cPa452.1673-CamPar
RETROSEQ_chrZ:68414466-68414660	cPa452	Beta-like1	ERV-AB1.cPa452.1674-CamPar
RETROSEQ_chrZ:68509325-68509425	cPa15	SnRV-like	ERV-S.cPa15.334-CamPar
RETROSEQ_chrZ:68554238-68554338	cPa140	SnRV-like	ERV-S.cPa140.2174-CamPar
RETROSEQ_chrZ:68733630-68733742	cPa220	Beta-like1	ERV-AB1.cPa220.365-CamPar
RETROSEQ_chrZ:68808913-68809019	cPa248	SnRV-like	ERV-S.cPa248.855-CamPar
RETROSEQ_chrZ:68914146-68914260	cPa363	Beta-like1	ERV-AB1.cPa363.862-CamPar
RETROSEQ_chrZ:68938193-68938321	cPa182	Alpha-like	ERV-AB.cPa182.27-CamPar
RETROSEQ_chrZ:68939045-68939145	cPa182	Alpha-like	ERV-AB.cPa182.28-CamPar
RETROSEQ_chrZ:68939356-68939456	cPa182	Alpha-like	ERV-AB.cPa182.29-CamPar
RETROSEQ_chrZ:68940004-68940198	cPa182	Alpha-like	ERV-AB.cPa182.30-CamPar
RETROSEQ_chrZ:68940647-68940747	cPa182	Alpha-like	ERV-AB.cPa182.31-CamPar
RETROSEQ_chrZ:68943005-68943105	cPa182	Alpha-like	ERV-AB.cPa182.32-CamPar
RETROSEQ_chrZ:69025815-69025915	cPa224	Alpha-like	ERV-AB.cPa224.274-CamPar
RETROSEQ_chrZ:69026615-69026963	cPa333	Beta-like1	ERV-AB1.cPa333.267-CamPar
RETROSEQ_chrZ:69083302-69083457	cPa521	Beta-like2	ERV-AB2.cPa521.27-CamPar
RETROSEQ_chrZ:69187355-69187455	cPa302	Beta-like1	ERV-AB1.cPa302.61-CamPar
RETROSEQ_chrZ:69188762-69188862	cPa142	Beta-like1	ERV-AB1.cPa142.233-CamPar
RETROSEQ_chrZ:69188981-69189225	cPa572	Beta-like1	ERV-AB1.cPa572.54-CamPar
RETROSEQ_chrZ:69195393-69195493	cPa138	Beta-like1	ERV-AB1.cPa138.47-CamPar
RETROSEQ_chrZ:69198166-69198425	cPa138	Beta-like1	ERV-AB1.cPa138.48-CamPar
RETROSEQ_chrZ:69200740-69200840	cPa563	Beta-like1	ERV-AB1.cPa563.36-CamPar
RETROSEQ_chrZ:69205664-69205922	cPa540	Beta-like1	ERV-AB1.cPa540.112-CamPar
RETROSEQ_chrZ:69209055-69209159	cPa247	Beta-like1	ERV-AB1.cPa247.65-CamPar
RETROSEQ_chrZ:69253072-69253184	HERV-XA34_repbase_HERVFH21I_LTR21A	Gamma-like	ERV-HERVXA34.314-CamPar
RETROSEQ_chrZ:69271766-69271870	cPa140	SnRV-like	ERV-S.cPa140.2175-CamPar
RETROSEQ_chrZ:69373651-69373751	cPa50	Beta-like1	ERV-AB1.cPa50.67-CamPar
RETROSEQ_chrZ:69393413-69393513	cPa140	SnRV-like	ERV-S.cPa140.2176-CamPar
RETROSEQ_chrZ:69417399-69417587	PERV_AJ293656	Gamma	ERV-PERV.285-CamPar
RETROSEQ_chrZ:69417639-69417741	PERV_AJ293656	Gamma	ERV-PERV.286-CamPar
RETROSEQ_chrZ:69417923-69418048	PERV_AJ293656	Gamma	ERV-PERV.287-CamPar
RETROSEQ_chrZ:69430043-69430143	cPa140	SnRV-like	ERV-S.cPa140.2177-CamPar
RETROSEQ_chrZ:69430181-69430357	cPa15	SnRV-like	ERV-S.cPa15.335-CamPar
RETROSEQ_chrZ:69435450-69435636	cPa109	Gamma-like	ERV-GE.cPa109.244-CamPar
RETROSEQ_chrZ:69444751-69444851	cPa452	Beta-like1	ERV-AB1.cPa452.1675-CamPar
RETROSEQ_chrZ:69513891-69513991	cPa201	Gamma-like	ERV-GE.cPa201.230-CamPar
RETROSEQ_chrZ:69514075-69514175	cPa201	Gamma-like	ERV-GE.cPa201.231-CamPar
RETROSEQ_chrZ:69516667-69516767	cPa220	Beta-like1	ERV-AB1.cPa220.366-CamPar
RETROSEQ_chrZ:69567915-69568015	HTLV1_NC001436	Delta	ERV-HTLV1.63-CamPar
RETROSEQ_chrZ:69591846-69591946	cPa201	Gamma-like	ERV-GE.cPa201.232-CamPar
RETROSEQ_chrZ:69600061-69600161	cPa163	Alpha-like	ERV-AB.cPa163.292-CamPar
RETROSEQ_chrZ:69662476-69662576	cPa308	Beta-like2	ERV-AB2.cPa308.440-CamPar
RETROSEQ_chrZ:69677401-69677501	cPa452	Beta-like1	ERV-AB1.cPa452.1676-CamPar
RETROSEQ_chrZ:69699507-69699630	cPa140	SnRV-like	ERV-S.cPa140.2178-CamPar
RETROSEQ_chrZ:69729187-69729287	cPa248	SnRV-like	ERV-S.cPa248.856-CamPar
RETROSEQ_chrZ:69729775-69730055	cPa241	Beta-like1	ERV-AB1.cPa241.99-CamPar
RETROSEQ_chrZ:69733018-69733118	cPa390	Beta-like1	ERV-AB1.cPa390.48-CamPar
DELLY_chrZ:69737513-69737952	cPa572	Beta-like1	ERV-AB1.cPa572.55-CamPar
RETROSEQ_chrZ:69737961-69738162	cPa572	Beta-like1	ERV-AB1.cPa572.56-CamPar
RETROSEQ_chrZ:69738619-69738798	cPa452	Beta-like1	ERV-AB1.cPa452.1677-CamPar
RETROSEQ_chrZ:69739447-69739553	cPa130	Beta-like1	ERV-AB1.cPa130.40-CamPar
RETROSEQ_chrZ:69739590-69739932	cPa285	Beta-like1	ERV-AB1.cPa285.68-CamPar
DELLY_chrZ:69741946-69742762	cPa572	Beta-like1	ERV-AB1.cPa572.57-CamPar
RETROSEQ_chrZ:69742526-69742806	cPa194	Beta-like1	ERV-AB1.cPa194.1005-CamPar
RETROSEQ_chrZ:69742836-69742949	cPa575	Beta-like1	ERV-AB1.cPa575.7-CamPar
RETROSEQ_chrZ:69744299-69744399	cPa527	Beta-like1	ERV-AB1.cPa527.27-CamPar
RETROSEQ_chrZ:69744440-69744612	cPa518	Beta-like1	ERV-AB1.cPa518.16-CamPar
RETROSEQ_chrZ:69745714-69745814	cPa395	Beta-like1	ERV-AB1.cPa395.34-CamPar
RETROSEQ_chrZ:69749131-69749231	cPa176	Beta-like1	ERV-AB1.cPa176.114-CamPar
RETROSEQ_chrZ:69828945-69829045	cPa452	Beta-like1	ERV-AB1.cPa452.1678-CamPar
RETROSEQ_chrZ:69850722-69850822	cPa109	Gamma-like	ERV-GE.cPa109.245-CamPar
RETROSEQ_chrZ:69850862-69850974	cPa109	Gamma-like	ERV-GE.cPa109.246-CamPar
RETROSEQ_chrZ:69927758-69927858	MLV_Mpmv5	Gamma	ERV-Mpmv.5.13-CamPar
RETROSEQ_chrZ:69931985-69932262	cPa332	Beta-like2	ERV-AB2.cPa332.93-CamPar
RETROSEQ_chrZ:69941043-69941143	cPa220	Beta-like1	ERV-AB1.cPa220.367-CamPar
RETROSEQ_chrZ:69963685-69963807	cPa443	SnRV-like	ERV-S.cPa443.379-CamPar
RETROSEQ_chrZ:69983485-69983585	cPa201	Gamma-like	ERV-GE.cPa201.233-CamPar
RETROSEQ_chrZ:70043300-70043417	cPa248	SnRV-like	ERV-S.cPa248.857-CamPar
RETROSEQ_chrZ:70043537-70043637	cPa391	Beta-like2	ERV-AB2.cPa391.1117-CamPar
RETROSEQ_chrZ:70077538-70077644	cPa224	Alpha-like	ERV-AB.cPa224.275-CamPar
RETROSEQ_chrZ:70165567-70165683	cPa563	Beta-like1	ERV-AB1.cPa563.37-CamPar
RETROSEQ_chrZ:70215602-70215702	cPa478	Beta-like1	ERV-AB1.cPa478.21-CamPar
RETROSEQ_chrZ:70371997-70372097	cPa540	Beta-like1	ERV-AB1.cPa540.113-CamPar
RETROSEQ_chrZ:70432661-70432856	HFV_NC001736	Spuma	ERV-HFV.27-CamPar
RETROSEQ_chrZ:70456332-70456452	cPa247	Beta-like1	ERV-AB1.cPa247.66-CamPar
RETROSEQ_chrZ:70500380-70500480	cPa486	Beta-like1	ERV-AB1.cPa486.190-CamPar
RETROSEQ_chrZ:70603704-70603804	PERV_AJ293656	Gamma	ERV-PERV.288-CamPar
RETROSEQ_chrZ:70624901-70625019	cPa101	Beta-like1	ERV-AB1.cPa101.130-CamPar
RETROSEQ_chrZ:70651663-70651763	cPa109	Gamma-like	ERV-GE.cPa109.247-CamPar
RETROSEQ_chrZ:70665490-70665697	cPa260	Beta-like2	ERV-AB2.cPa260.1264-CamPar
RETROSEQ_chrZ:70685803-70685903	cPa199	Beta-like2	ERV-AB2.cPa199.1181-CamPar
RETROSEQ_chrZ:70721161-70721267	cPa140	SnRV-like	ERV-S.cPa140.2179-CamPar
RETROSEQ_chrZ:70771311-70771411	cPa260	Beta-like2	ERV-AB2.cPa260.1265-CamPar
RETROSEQ_chrZ:70829108-70829341	cPa260	Beta-like2	ERV-AB2.cPa260.1266-CamPar
RETROSEQ_chrZ:70847333-70847489	cPa260	Beta-like2	ERV-AB2.cPa260.1267-CamPar
RETROSEQ_chrZ:70847514-70847650	cPa260	Beta-like2	ERV-AB2.cPa260.1268-CamPar
RETROSEQ_chrZ:70848864-70848964	cPa142	Beta-like1	ERV-AB1.cPa142.234-CamPar
RETROSEQ_chrZ:70900628-70900728	cPa260	Beta-like2	ERV-AB2.cPa260.1269-CamPar
RETROSEQ_chrZ:70922861-70923066	cPa260	Beta-like2	ERV-AB2.cPa260.1270-CamPar
RETROSEQ_chrZ:70931509-70931609	cPa260	Beta-like2	ERV-AB2.cPa260.1271-CamPar
RETROSEQ_chrZ:70933770-70933873	cPa260	Beta-like2	ERV-AB2.cPa260.1272-CamPar
RETROSEQ_chrZ:70933889-70934039	cPa260	Beta-like2	ERV-AB2.cPa260.1273-CamPar
RETROSEQ_chrZ:70937505-70937605	cPa199	Beta-like2	ERV-AB2.cPa199.1182-CamPar
RETROSEQ_chrZ:71002145-71002294	cPa390	Beta-like1	ERV-AB1.cPa390.49-CamPar
RETROSEQ_chrZ:71016079-71016263	cPa260	Beta-like2	ERV-AB2.cPa260.1274-CamPar
RETROSEQ_chrZ:71040575-71040675	cPa308	Beta-like2	ERV-AB2.cPa308.441-CamPar
RETROSEQ_chrZ:71050271-71050371	cPa188	Beta-like1	ERV-AB1.cPa188.29-CamPar
RETROSEQ_chrZ:71059778-71059901	cPa101	Beta-like1	ERV-AB1.cPa101.131-CamPar
RETROSEQ_chrZ:71067612-71067842	cPa260	Beta-like2	ERV-AB2.cPa260.1275-CamPar
RETROSEQ_chrZ:71082930-71083030	cPa224	Alpha-like	ERV-AB.cPa224.276-CamPar
RETROSEQ_chrZ:71128215-71128584	cPa390	Beta-like1	ERV-AB1.cPa390.50-CamPar
RETROSEQ_chrZ:71128590-71128767	cPa308	Beta-like2	ERV-AB2.cPa308.442-CamPar
RETROSEQ_chrZ:71164687-71164787	cPa140	SnRV-like	ERV-S.cPa140.2180-CamPar
RETROSEQ_chrZ:71164890-71165035	cPa248	SnRV-like	ERV-S.cPa248.858-CamPar
RETROSEQ_chrZ:71206844-71206944	cPa260	Beta-like2	ERV-AB2.cPa260.1276-CamPar
RETROSEQ_chrZ:71246651-71246751	cPa201	Gamma-like	ERV-GE.cPa201.234-CamPar
RETROSEQ_chrZ:71330964-71331261	cPa390	Beta-like1	ERV-AB1.cPa390.51-CamPar
RETROSEQ_chrZ:71332514-71332618	cPa443	SnRV-like	ERV-S.cPa443.380-CamPar
RETROSEQ_chrZ:71455897-71455997	PERV_AJ293656	Gamma	ERV-PERV.289-CamPar
RETROSEQ_chrZ:71498329-71498492	cPa260	Beta-like2	ERV-AB2.cPa260.1277-CamPar
RETROSEQ_chrZ:71525561-71525718	cPa260	Beta-like2	ERV-AB2.cPa260.1278-CamPar
RETROSEQ_chrZ:71594637-71594737	cPa452	Beta-like1	ERV-AB1.cPa452.1679-CamPar
CNV_chrZ:71602501-71610600	cPa575	Beta-like1	ERV-AB1.cPa575.8-CamPar
RETROSEQ_chrZ:71603480-71603580	cPa575	Beta-like1	ERV-AB1.cPa575.9-CamPar
RETROSEQ_chrZ:71605315-71605415	cPa572	Beta-like1	ERV-AB1.cPa572.58-CamPar
RETROSEQ_chrZ:71607652-71607752	cPa527	Beta-like1	ERV-AB1.cPa527.28-CamPar
RETROSEQ_chrZ:71612683-71612827	cPa127	Beta-like1	ERV-AB1.cPa127.202-CamPar
RETROSEQ_chrZ:71710050-71710150	cPa50	Beta-like1	ERV-AB1.cPa50.68-CamPar
RETROSEQ_chrZ:71713038-71713138	cPa205	Gamma-like	ERV-GE.cPa205.164-CamPar
RETROSEQ_chrZ:71723930-71724061	cPa260	Beta-like2	ERV-AB2.cPa260.1279-CamPar
RETROSEQ_chrZ:71764816-71764916	cPa260	Beta-like2	ERV-AB2.cPa260.1280-CamPar
RETROSEQ_chrZ:71779709-71779908	cPa260	Beta-like2	ERV-AB2.cPa260.1281-CamPar
RETROSEQ_chrZ:71793494-71793594	cPa260	Beta-like2	ERV-AB2.cPa260.1282-CamPar
